pokemon_number,pokemon_name_ch,pokemon_name_jp,pokemon_name_en,pokemon_types,pokemon_abilitys,pokemon_status
221,長毛豬,イノムー,Piloswine,"['冰', '地面']","{'普特': ['遲鈍', '雪隱'], '夢特': '厚脂肪'}","{'HP': 100, '攻擊': 100, '防禦': 80, '特攻': 60, '特防': 60, '速度': 50, '總和': 450}"
222,太陽珊瑚,サニーゴ,Corsola,"['水', '岩石']","{'普特': ['活力', '自然回覆'], '夢特': '再生力'}","{'HP': 65, '攻擊': 55, '防禦': 95, '特攻': 65, '特防': 95, '速度': 35, '總和': 410}"
223,鐵炮魚,テッポウオ,Remoraid,['水'],"{'普特': ['活力', '狙擊手'], '夢特': '心情不定'}","{'HP': 35, '攻擊': 65, '防禦': 35, '特攻': 65, '特防': 35, '速度': 65, '總和': 300}"
224,章魚桶,オクタン,Octillery,['水'],"{'普特': ['吸盤', '狙擊手'], '夢特': '心情不定'}","{'HP': 75, '攻擊': 105, '防禦': 75, '特攻': 105, '特防': 75, '速度': 45, '總和': 480}"
225,信使鳥,デリバード,Delibird,"['冰', '飛行']","{'普特': ['幹勁', '活力'], '夢特': '不眠'}","{'HP': 45, '攻擊': 55, '防禦': 45, '特攻': 65, '特防': 45, '速度': 75, '總和': 330}"
226,巨翅飛魚,マンタイン,Mantine,"['水', '飛行']","{'普特': ['悠遊自如', '儲水'], '夢特': '水幕'}","{'HP': 85, '攻擊': 40, '防禦': 70, '特攻': 80, '特防': 140, '速度': 70, '總和': 485}"
227,盔甲鳥,エアームド,Skarmory,"['鋼', '飛行']","{'普特': ['銳利目光', '結實'], '夢特': '碎裂鎧甲'}","{'HP': 65, '攻擊': 80, '防禦': 140, '特攻': 40, '特防': 70, '速度': 70, '總和': 465}"
228,戴魯比,デルビル,Houndour,"['惡', '火']","{'普特': ['早起', '引火'], '夢特': '緊張感'}","{'HP': 45, '攻擊': 60, '防禦': 30, '特攻': 80, '特防': 50, '速度': 65, '總和': 330}"
229,黑魯加,ヘルガー,Houndoom,"['惡', '火']","{'普特': ['早起', '引火'], '夢特': '緊張感'}","{'HP': 75, '攻擊': 90, '防禦': 50, '特攻': 110, '特防': 80, '速度': 95, '總和': 500}"
230,刺龍王,キングドラ,Kingdra,"['水', '龍']","{'普特': ['悠遊自如', '狙擊手'], '夢特': '溼氣'}","{'HP': 75, '攻擊': 95, '防禦': 95, '特攻': 95, '特防': 95, '速度': 85, '總和': 540}"
231,小小象,ゴマゾウ,Phanpy,['地面'],"{'普特': '撿拾', '夢特': '沙隱'}","{'HP': 90, '攻擊': 60, '防禦': 60, '特攻': 40, '特防': 40, '速度': 40, '總和': 330}"
232,頓甲,ドンファン,Donphan,['地面'],"{'普特': '結實', '夢特': '沙隱'}","{'HP': 90, '攻擊': 120, '防禦': 120, '特攻': 60, '特防': 60, '速度': 50, '總和': 500}"
233,多邊獸Ⅱ,ポリゴン２,Porygon2,['一般'],"{'普特': ['複製', '下載'], '夢特': '分析'}","{'HP': 85, '攻擊': 80, '防禦': 90, '特攻': 105, '特防': 95, '速度': 60, '總和': 515}"
234,驚角鹿,オドシシ,Stantler,['一般'],"{'普特': ['威嚇', '察覺'], '夢特': '食草'}","{'HP': 73, '攻擊': 95, '防禦': 62, '特攻': 85, '特防': 65, '速度': 85, '總和': 465}"
235,圖圖犬,ドーブル,Smeargle,['一般'],"{'普特': ['我行我素', '技術高手'], '夢特': '心情不定'}","{'HP': 55, '攻擊': 20, '防禦': 35, '特攻': 20, '特防': 45, '速度': 75, '總和': 250}"
236,無畏小子,バルキー,Tyrogue,['格鬥'],"{'普特': ['毅力', '不屈之心'], '夢特': '幹勁'}","{'HP': 35, '攻擊': 35, '防禦': 35, '特攻': 35, '特防': 35, '速度': 35, '總和': 210}"
237,戰舞郎,カポエラー,Hitmontop,['格鬥'],"{'普特': ['威嚇', '技術高手'], '夢特': '不屈之心'}","{'HP': 50, '攻擊': 95, '防禦': 95, '特攻': 35, '特防': 110, '速度': 70, '總和': 455}"
238,迷脣娃,ムチュール,Smoochum,"['冰', '超能力']","{'普特': ['遲鈍', '預知夢'], '夢特': '溼潤之軀'}","{'HP': 45, '攻擊': 30, '防禦': 15, '特攻': 85, '特防': 65, '速度': 65, '總和': 305}"
239,電擊怪,エレキッド,Elekid,['電'],"{'普特': '靜電', '夢特': '幹勁'}","{'HP': 45, '攻擊': 63, '防禦': 37, '特攻': 65, '特防': 55, '速度': 95, '總和': 360}"
240,鴨嘴寶寶,ブビィ,Magby,['火'],"{'普特': '火焰之軀', '夢特': '幹勁'}","{'HP': 45, '攻擊': 75, '防禦': 37, '特攻': 70, '特防': 55, '速度': 83, '總和': 365}"
241,大奶罐,ミルタンク,Miltank,['一般'],"{'普特': ['厚脂肪', '膽量'], '夢特': '食草'}","{'HP': 95, '攻擊': 80, '防禦': 105, '特攻': 40, '特防': 70, '速度': 100, '總和': 490}"
242,幸福蛋,ハピナス,Blissey,['一般'],"{'普特': ['自然回覆', '天恩'], '夢特': '治癒之心'}","{'HP': 255, '攻擊': 10, '防禦': 10, '特攻': 75, '特防': 135, '速度': 55, '總和': 540}"
243,雷公,ライコウ,Raikou,['電'],"{'普特': '壓迫感', '夢特': '精神力'}","{'HP': 90, '攻擊': 85, '防禦': 75, '特攻': 115, '特防': 100, '速度': 115, '總和': 580}"
244,炎帝,エンテイ,Entei,['火'],"{'普特': '壓迫感', '夢特': '精神力'}","{'HP': 115, '攻擊': 115, '防禦': 85, '特攻': 90, '特防': 75, '速度': 100, '總和': 580}"
245,水君,スイクン,Suicune,['水'],"{'普特': '壓迫感', '夢特': '精神力'}","{'HP': 100, '攻擊': 75, '防禦': 115, '特攻': 90, '特防': 115, '速度': 85, '總和': 580}"
246,幼基拉斯,ヨーギラス,Larvitar,"['岩石', '地面']","{'普特': '毅力', '夢特': '沙隱'}","{'HP': 50, '攻擊': 64, '防禦': 50, '特攻': 45, '特防': 50, '速度': 41, '總和': 300}"
247,沙基拉斯,サナギラス,Pupitar,"['岩石', '地面']",{'普特': '蛻皮'},"{'HP': 70, '攻擊': 84, '防禦': 70, '特攻': 65, '特防': 70, '速度': 51, '總和': 410}"
248,班基拉斯,バンギラス,Tyranitar,"['岩石', '惡']","{'普特': '揚沙', '夢特': '緊張感'}","{'HP': 100, '攻擊': 134, '防禦': 110, '特攻': 95, '特防': 100, '速度': 61, '總和': 600}"
249,洛奇亞,ルギア,Lugia,"['超能力', '飛行']","{'普特': '壓迫感', '夢特': '多重鱗片'}","{'HP': 106, '攻擊': 90, '防禦': 130, '特攻': 90, '特防': 154, '速度': 110, '總和': 680}"
250,鳳王,ホウオウ,Ho-Oh,"['火', '飛行']","{'普特': '壓迫感', '夢特': '再生力'}","{'HP': 106, '攻擊': 130, '防禦': 90, '特攻': 110, '特防': 154, '速度': 90, '總和': 680}"
251,時拉比,セレビィ,Celebi,"['超能力', '草']",{'普特': '自然回覆'},"{'HP': 100, '攻擊': 100, '防禦': 100, '特攻': 100, '特防': 100, '速度': 100, '總和': 600}"
252,木守宮,キモリ,Treecko,['草'],"{'普特': '茂盛', '夢特': '輕裝'}","{'HP': 40, '攻擊': 45, '防禦': 35, '特攻': 65, '特防': 55, '速度': 70, '總和': 310}"
253,森林蜥蜴,ジュプトル,Grovyle,['草'],"{'普特': '茂盛', '夢特': '輕裝'}","{'HP': 50, '攻擊': 65, '防禦': 45, '特攻': 85, '特防': 65, '速度': 95, '總和': 405}"
254,蜥蜴王,ジュカイン,Sceptile,['草'],"{'普特': '茂盛', '夢特': '輕裝'}","{'HP': 70, '攻擊': 85, '防禦': 65, '特攻': 105, '特防': 85, '速度': 120, '總和': 530}"
255,火稚雞,アチャモ,Torchic,['火'],"{'普特': '猛火', '夢特': '加速'}","{'HP': 45, '攻擊': 60, '防禦': 40, '特攻': 70, '特防': 50, '速度': 45, '總和': 310}"
256,力壯雞,ワカシャモ,Combusken,"['火', '格鬥']","{'普特': '猛火', '夢特': '加速'}","{'HP': 60, '攻擊': 85, '防禦': 60, '特攻': 85, '特防': 60, '速度': 55, '總和': 405}"
257,火焰雞,バシャーモ,Blaziken,"['火', '格鬥']","{'普特': '猛火', '夢特': '加速'}","{'HP': 80, '攻擊': 120, '防禦': 70, '特攻': 110, '特防': 70, '速度': 80, '總和': 530}"
258,水躍魚,ミズゴロウ,Mudkip,['水'],"{'普特': '激流', '夢特': '溼氣'}","{'HP': 50, '攻擊': 70, '防禦': 50, '特攻': 50, '特防': 50, '速度': 40, '總和': 310}"
259,沼躍魚,ヌマクロー,Marshtomp,"['水', '地面']","{'普特': '激流', '夢特': '溼氣'}","{'HP': 70, '攻擊': 85, '防禦': 70, '特攻': 60, '特防': 70, '速度': 50, '總和': 405}"
260,巨沼怪,ラグラージ,Swampert,"['水', '地面']","{'普特': '激流', '夢特': '溼氣'}","{'HP': 100, '攻擊': 110, '防禦': 90, '特攻': 85, '特防': 90, '速度': 60, '總和': 535}"
261,土狼犬,ポチエナ,Poochyena,['惡'],"{'普特': ['逃跑', '飛毛腿'], '夢特': '膽怯'}","{'HP': 35, '攻擊': 55, '防禦': 35, '特攻': 30, '特防': 30, '速度': 35, '總和': 220}"
262,大狼犬,グラエナ,Mightyena,['惡'],"{'普特': ['威嚇', '飛毛腿'], '夢特': '自信過度'}","{'HP': 70, '攻擊': 90, '防禦': 70, '特攻': 60, '特防': 60, '速度': 70, '總和': 420}"
263,蛇紋熊,ジグザグマ,Zigzagoon,['一般'],"{'普特': ['撿拾', '貪吃鬼'], '夢特': '飛毛腿'}","{'HP': 38, '攻擊': 30, '防禦': 41, '特攻': 30, '特防': 41, '速度': 60, '總和': 240}"
264,直衝熊,マッスグマ,Linoone,['一般'],"{'普特': ['撿拾', '貪吃鬼'], '夢特': '飛毛腿'}","{'HP': 78, '攻擊': 70, '防禦': 61, '特攻': 50, '特防': 61, '速度': 100, '總和': 420}"
265,刺尾蟲,ケムッソ,Wurmple,['蟲'],"{'普特': '鱗粉', '夢特': '逃跑'}","{'HP': 45, '攻擊': 45, '防禦': 35, '特攻': 20, '特防': 30, '速度': 20, '總和': 195}"
266,甲殼繭,カラサリス,Silcoon,['蟲'],{'普特': '蛻皮'},"{'HP': 50, '攻擊': 35, '防禦': 55, '特攻': 25, '特防': 25, '速度': 15, '總和': 205}"
267,狩獵鳳蝶,アゲハント,Beautifly,"['蟲', '飛行']","{'普特': '蟲之預感', '夢特': '鬥爭心'}","{'HP': 60, '攻擊': 70, '防禦': 50, '特攻': 100, '特防': 50, '速度': 65, '總和': 395}"
268,盾甲繭,マユルド,Cascoon,['蟲'],{'普特': '蛻皮'},"{'HP': 50, '攻擊': 35, '防禦': 55, '特攻': 25, '特防': 25, '速度': 15, '總和': 205}"
269,毒粉蛾,ドクケイル,Dustox,"['蟲', '毒']","{'普特': '鱗粉', '夢特': '複眼'}","{'HP': 60, '攻擊': 50, '防禦': 70, '特攻': 50, '特防': 90, '速度': 65, '總和': 385}"
270,蓮葉童子,ハスボー,Lotad,"['水', '草']","{'普特': ['悠遊自如', '雨盤'], '夢特': '我行我素'}","{'HP': 40, '攻擊': 30, '防禦': 30, '特攻': 40, '特防': 50, '速度': 30, '總和': 220}"
271,蓮帽小童,ハスブレロ,Lombre,"['水', '草']","{'普特': ['悠遊自如', '雨盤'], '夢特': '我行我素'}","{'HP': 60, '攻擊': 50, '防禦': 50, '特攻': 60, '特防': 70, '速度': 50, '總和': 340}"
272,樂天河童,ルンパッパ,Ludicolo,"['水', '草']","{'普特': ['悠遊自如', '雨盤'], '夢特': '我行我素'}","{'HP': 80, '攻擊': 70, '防禦': 70, '特攻': 90, '特防': 100, '速度': 70, '總和': 480}"
273,橡實果,タネボー,Seedot,['草'],"{'普特': ['葉綠素', '早起'], '夢特': '順手牽羊'}","{'HP': 40, '攻擊': 40, '防禦': 50, '特攻': 30, '特防': 30, '速度': 30, '總和': 220}"
274,長鼻葉,コノハナ,Nuzleaf,"['草', '惡']","{'普特': ['葉綠素', '早起'], '夢特': '順手牽羊'}","{'HP': 70, '攻擊': 70, '防禦': 40, '特攻': 60, '特防': 40, '速度': 60, '總和': 340}"
275,狡猾天狗,ダーテング,Shiftry,"['草', '惡']","{'普特': ['葉綠素', '早起'], '夢特': '順手牽羊'}","{'HP': 90, '攻擊': 100, '防禦': 60, '特攻': 90, '特防': 60, '速度': 80, '總和': 480}"
276,傲骨燕,スバメ,Taillow,"['一般', '飛行']","{'普特': '毅力', '夢特': '膽量'}","{'HP': 40, '攻擊': 55, '防禦': 30, '特攻': 30, '特防': 30, '速度': 85, '總和': 270}"
277,大王燕,オオスバメ,Swellow,"['一般', '飛行']","{'普特': '毅力', '夢特': '膽量'}","{'HP': 60, '攻擊': 85, '防禦': 60, '特攻': 75, '特防': 50, '速度': 125, '總和': 455}"
278,長翅鷗,キャモメ,Wingull,"['水', '飛行']","{'普特': ['銳利目光', '溼潤之軀'], '夢特': '雨盤'}","{'HP': 40, '攻擊': 30, '防禦': 30, '特攻': 55, '特防': 30, '速度': 85, '總和': 270}"
279,大嘴鷗,ペリッパー,Pelipper,"['水', '飛行']","{'普特': ['銳利目光', '降雨'], '夢特': '雨盤'}","{'HP': 60, '攻擊': 50, '防禦': 100, '特攻': 95, '特防': 70, '速度': 65, '總和': 440}"
280,拉魯拉絲,ラルトス,Ralts,"['超能力', '妖精']","{'普特': ['同步', '複製'], '夢特': '心靈感應'}","{'HP': 28, '攻擊': 25, '防禦': 25, '特攻': 45, '特防': 35, '速度': 40, '總和': 198}"
281,奇魯莉安,キルリア,Kirlia,"['超能力', '妖精']","{'普特': ['同步', '複製'], '夢特': '心靈感應'}","{'HP': 38, '攻擊': 35, '防禦': 35, '特攻': 65, '特防': 55, '速度': 50, '總和': 278}"
282,沙奈朵,サーナイト,Gardevoir,"['超能力', '妖精']","{'普特': ['同步', '複製'], '夢特': '心靈感應'}","{'HP': 68, '攻擊': 65, '防禦': 65, '特攻': 125, '特防': 115, '速度': 80, '總和': 518}"
283,溜溜糖球,アメタマ,Surskit,"['蟲', '水']","{'普特': '悠遊自如', '夢特': '雨盤'}","{'HP': 40, '攻擊': 30, '防禦': 32, '特攻': 50, '特防': 52, '速度': 65, '總和': 269}"
284,雨翅蛾,アメモース,Masquerain,"['蟲', '飛行']","{'普特': '威嚇', '夢特': '緊張感'}","{'HP': 70, '攻擊': 60, '防禦': 62, '特攻': 100, '特防': 82, '速度': 80, '總和': 454}"
285,蘑蘑菇,キノココ,Shroomish,['草'],"{'普特': ['孢子', '毒療'], '夢特': '飛毛腿'}","{'HP': 60, '攻擊': 40, '防禦': 60, '特攻': 40, '特防': 60, '速度': 35, '總和': 295}"
286,斗笠菇,キノガッサ,Breloom,"['草', '格鬥']","{'普特': ['孢子', '毒療'], '夢特': '技術高手'}","{'HP': 60, '攻擊': 130, '防禦': 80, '特攻': 60, '特防': 60, '速度': 70, '總和': 460}"
287,懶人獺,ナマケロ,Slakoth,['一般'],{'普特': '懶惰'},"{'HP': 60, '攻擊': 60, '防禦': 60, '特攻': 35, '特防': 35, '速度': 30, '總和': 280}"
288,過動猿,ヤルキモノ,Vigoroth,['一般'],{'普特': '幹勁'},"{'HP': 80, '攻擊': 80, '防禦': 80, '特攻': 55, '特防': 55, '速度': 90, '總和': 440}"
289,請假王,ケッキング,Slaking,['一般'],{'普特': '懶惰'},"{'HP': 150, '攻擊': 160, '防禦': 100, '特攻': 95, '特防': 65, '速度': 100, '總和': 670}"
290,土居忍士,ツチニン,Nincada,"['蟲', '地面']","{'普特': '複眼', '夢特': '逃跑'}","{'HP': 31, '攻擊': 45, '防禦': 90, '特攻': 30, '特防': 30, '速度': 40, '總和': 266}"
291,鐵面忍者,テッカニン,Ninjask,"['蟲', '飛行']","{'普特': '加速', '夢特': '穿透'}","{'HP': 61, '攻擊': 90, '防禦': 45, '特攻': 50, '特防': 50, '速度': 160, '總和': 456}"
292,脫殼忍者,ヌケニン,Shedinja,"['蟲', '幽靈']",{'普特': '神奇守護'},"{'HP': 1, '攻擊': 90, '防禦': 45, '特攻': 30, '特防': 30, '速度': 40, '總和': 236}"
293,咕妞妞,ゴニョニョ,Whismur,['一般'],"{'普特': '隔音', '夢特': '膽怯'}","{'HP': 64, '攻擊': 51, '防禦': 23, '特攻': 51, '特防': 23, '速度': 28, '總和': 240}"
294,吼爆彈,ドゴーム,Loudred,['一般'],"{'普特': '隔音', '夢特': '膽量'}","{'HP': 84, '攻擊': 71, '防禦': 43, '特攻': 71, '特防': 43, '速度': 48, '總和': 360}"
295,爆音怪,バクオング,Exploud,['一般'],"{'普特': '隔音', '夢特': '膽量'}","{'HP': 104, '攻擊': 91, '防禦': 63, '特攻': 91, '特防': 73, '速度': 68, '總和': 490}"
296,幕下力士,マクノシタ,Makuhita,['格鬥'],"{'普特': ['厚脂肪', '毅力'], '夢特': '強行'}","{'HP': 72, '攻擊': 60, '防禦': 30, '特攻': 20, '特防': 30, '速度': 25, '總和': 237}"
297,鐵掌力士,ハリテヤマ,Hariyama,['格鬥'],"{'普特': ['厚脂肪', '毅力'], '夢特': '強行'}","{'HP': 144, '攻擊': 120, '防禦': 60, '特攻': 40, '特防': 60, '速度': 50, '總和': 474}"
298,露力麗,ルリリ,Azurill,"['一般', '妖精']","{'普特': ['厚脂肪', '大力士'], '夢特': '食草'}","{'HP': 50, '攻擊': 20, '防禦': 40, '特攻': 20, '特防': 40, '速度': 20, '總和': 190}"
299,朝北鼻,ノズパス,Nosepass,['岩石'],"{'普特': ['結實', '磁力'], '夢特': '沙之力'}","{'HP': 30, '攻擊': 45, '防禦': 135, '特攻': 45, '特防': 90, '速度': 30, '總和': 375}"
300,向尾喵,エネコ,Skitty,['一般'],"{'普特': ['迷人之軀', '一般皮膚'], '夢特': '奇蹟皮膚'}","{'HP': 50, '攻擊': 45, '防禦': 45, '特攻': 35, '特防': 35, '速度': 50, '總和': 260}"
301,優雅貓,エネコロロ,Delcatty,['一般'],"{'普特': ['迷人之軀', '一般皮膚'], '夢特': '奇蹟皮膚'}","{'HP': 70, '攻擊': 65, '防禦': 65, '特攻': 55, '特防': 55, '速度': 90, '總和': 400}"
302,勾魂眼,ヤミラミ,Sableye,"['惡', '幽靈']","{'普特': ['銳利目光', '慢出'], '夢特': '惡作劇之心'}","{'HP': 50, '攻擊': 75, '防禦': 75, '特攻': 65, '特防': 65, '速度': 50, '總和': 380}"
303,大嘴娃,クチート,Mawile,"['鋼', '妖精']","{'普特': ['怪力鉗', '威嚇'], '夢特': '強行'}","{'HP': 50, '攻擊': 85, '防禦': 85, '特攻': 55, '特防': 55, '速度': 50, '總和': 380}"
304,可可多拉,ココドラ,Aron,"['鋼', '岩石']","{'普特': ['結實', '堅硬腦袋'], '夢特': '重金屬'}","{'HP': 50, '攻擊': 70, '防禦': 100, '特攻': 40, '特防': 40, '速度': 30, '總和': 330}"
305,可多拉,コドラ,Lairon,"['鋼', '岩石']","{'普特': ['結實', '堅硬腦袋'], '夢特': '重金屬'}","{'HP': 60, '攻擊': 90, '防禦': 140, '特攻': 50, '特防': 50, '速度': 40, '總和': 430}"
306,波士可多拉,ボスゴドラ,Aggron,"['鋼', '岩石']","{'普特': ['結實', '堅硬腦袋'], '夢特': '重金屬'}","{'HP': 70, '攻擊': 110, '防禦': 180, '特攻': 60, '特防': 60, '速度': 50, '總和': 530}"
307,瑪沙那,アサナン,Meditite,"['格鬥', '超能力']","{'普特': '瑜伽之力', '夢特': '心靈感應'}","{'HP': 30, '攻擊': 40, '防禦': 55, '特攻': 40, '特防': 55, '速度': 60, '總和': 280}"
308,恰雷姆,チャーレム,Medicham,"['格鬥', '超能力']","{'普特': '瑜伽之力', '夢特': '心靈感應'}","{'HP': 60, '攻擊': 60, '防禦': 75, '特攻': 60, '特防': 75, '速度': 80, '總和': 410}"
309,落雷獸,ラクライ,Electrike,['電'],"{'普特': ['靜電', '避雷針'], '夢特': '負電'}","{'HP': 40, '攻擊': 45, '防禦': 40, '特攻': 65, '特防': 40, '速度': 65, '總和': 295}"
310,雷電獸,ライボルト,Manectric,['電'],"{'普特': ['靜電', '避雷針'], '夢特': '負電'}","{'HP': 70, '攻擊': 75, '防禦': 60, '特攻': 105, '特防': 60, '速度': 105, '總和': 475}"
311,正電拍拍,プラスル,Plusle,['電'],"{'普特': '正電', '夢特': '避雷針'}","{'HP': 60, '攻擊': 50, '防禦': 40, '特攻': 85, '特防': 75, '速度': 95, '總和': 405}"
312,負電拍拍,マイナン,Minun,['電'],"{'普特': '負電', '夢特': '蓄電'}","{'HP': 60, '攻擊': 40, '防禦': 50, '特攻': 75, '特防': 85, '速度': 95, '總和': 405}"
313,電螢蟲,バルビート,Volbeat,['蟲'],"{'普特': ['發光', '蟲之預感'], '夢特': '惡作劇之心'}","{'HP': 65, '攻擊': 73, '防禦': 75, '特攻': 47, '特防': 85, '速度': 85, '總和': 430}"
314,甜甜螢,イルミーゼ,Illumise,['蟲'],"{'普特': ['遲鈍', '有色眼鏡'], '夢特': '惡作劇之心'}","{'HP': 65, '攻擊': 47, '防禦': 75, '特攻': 73, '特防': 85, '速度': 85, '總和': 430}"
315,毒薔薇,ロゼリア,Roselia,"['草', '毒']","{'普特': ['自然回覆', '毒刺'], '夢特': '葉子防守'}","{'HP': 50, '攻擊': 60, '防禦': 45, '特攻': 100, '特防': 80, '速度': 65, '總和': 400}"
316,溶食獸,ゴクリン,Gulpin,['毒'],"{'普特': ['汙泥漿', '黏著'], '夢特': '貪吃鬼'}","{'HP': 70, '攻擊': 43, '防禦': 53, '特攻': 43, '特防': 53, '速度': 40, '總和': 302}"
317,吞食獸,マルノーム,Swalot,['毒'],"{'普特': ['汙泥漿', '黏著'], '夢特': '貪吃鬼'}","{'HP': 100, '攻擊': 73, '防禦': 83, '特攻': 73, '特防': 83, '速度': 55, '總和': 467}"
318,利牙魚,キバニア,Carvanha,"['水', '惡']","{'普特': '粗糙皮膚', '夢特': '加速'}","{'HP': 45, '攻擊': 90, '防禦': 20, '特攻': 65, '特防': 20, '速度': 65, '總和': 305}"
319,巨牙鯊,サメハダー,Sharpedo,"['水', '惡']","{'普特': '粗糙皮膚', '夢特': '加速'}","{'HP': 70, '攻擊': 120, '防禦': 40, '特攻': 95, '特防': 40, '速度': 95, '總和': 460}"
320,吼吼鯨,ホエルコ,Wailmer,['水'],"{'普特': ['水幕', '遲鈍'], '夢特': '壓迫感'}","{'HP': 130, '攻擊': 70, '防禦': 35, '特攻': 70, '特防': 35, '速度': 60, '總和': 400}"
321,吼鯨王,ホエルオー,Wailord,['水'],"{'普特': ['水幕', '遲鈍'], '夢特': '壓迫感'}","{'HP': 170, '攻擊': 90, '防禦': 45, '特攻': 90, '特防': 45, '速度': 60, '總和': 500}"
322,呆火駝,ドンメル,Numel,"['火', '地面']","{'普特': ['遲鈍', '單純'], '夢特': '我行我素'}","{'HP': 60, '攻擊': 60, '防禦': 40, '特攻': 65, '特防': 45, '速度': 35, '總和': 305}"
323,噴火駝,バクーダ,Camerupt,"['火', '地面']","{'普特': ['熔岩鎧甲', '堅硬岩石'], '夢特': '憤怒穴位'}","{'HP': 70, '攻擊': 100, '防禦': 70, '特攻': 105, '特防': 75, '速度': 40, '總和': 460}"
324,煤炭龜,コータス,Torkoal,['火'],"{'普特': ['白色煙霧', '日照'], '夢特': '硬殼盔甲'}","{'HP': 70, '攻擊': 85, '防禦': 140, '特攻': 85, '特防': 70, '速度': 20, '總和': 470}"
325,跳跳豬,バネブー,Spoink,['超能力'],"{'普特': ['厚脂肪', '我行我素'], '夢特': '貪吃鬼'}","{'HP': 60, '攻擊': 25, '防禦': 35, '特攻': 70, '特防': 80, '速度': 60, '總和': 330}"
326,噗噗豬,ブーピッグ,Grumpig,['超能力'],"{'普特': ['厚脂肪', '我行我素'], '夢特': '貪吃鬼'}","{'HP': 80, '攻擊': 45, '防禦': 65, '特攻': 90, '特防': 110, '速度': 80, '總和': 470}"
327,晃晃斑,パッチール,Spinda,['一般'],"{'普特': ['我行我素', '蹣跚'], '夢特': '唱反調'}","{'HP': 60, '攻擊': 60, '防禦': 60, '特攻': 60, '特防': 60, '速度': 60, '總和': 360}"
328,大顎蟻,ナックラー,Trapinch,['地面'],"{'普特': ['怪力鉗', '沙穴'], '夢特': '強行'}","{'HP': 45, '攻擊': 100, '防禦': 45, '特攻': 45, '特防': 45, '速度': 10, '總和': 290}"
329,超音波幼蟲,ビブラーバ,Vibrava,"['地面', '龍']","{'普特': '飄浮', '夢特': '飄浮'}","{'HP': 50, '攻擊': 70, '防禦': 50, '特攻': 50, '特防': 50, '速度': 70, '總和': 340}"
330,沙漠蜻蜓,フライゴン,Flygon,"['地面', '龍']","{'普特': '飄浮', '夢特': '飄浮'}","{'HP': 80, '攻擊': 100, '防禦': 80, '特攻': 80, '特防': 80, '速度': 100, '總和': 520}"
331,刺球仙人掌,サボネア,Cacnea,['草'],"{'普特': '沙隱', '夢特': '儲水'}","{'HP': 50, '攻擊': 85, '防禦': 40, '特攻': 85, '特防': 40, '速度': 35, '總和': 335}"
332,夢歌仙人掌,ノクタス,Cacturne,"['草', '惡']","{'普特': '沙隱', '夢特': '儲水'}","{'HP': 70, '攻擊': 115, '防禦': 60, '特攻': 115, '特防': 60, '速度': 55, '總和': 475}"
333,青綿鳥,チルット,Swablu,"['一般', '飛行']","{'普特': '自然回覆', '夢特': '無關天氣'}","{'HP': 45, '攻擊': 40, '防禦': 60, '特攻': 40, '特防': 75, '速度': 50, '總和': 310}"
334,七夕青鳥,チルタリス,Altaria,"['龍', '飛行']","{'普特': '自然回覆', '夢特': '無關天氣'}","{'HP': 75, '攻擊': 70, '防禦': 90, '特攻': 70, '特防': 105, '速度': 80, '總和': 490}"
335,貓鼬斬,ザングース,Zangoose,['一般'],"{'普特': '免疫', '夢特': '中毒激升'}","{'HP': 73, '攻擊': 115, '防禦': 60, '特攻': 60, '特防': 60, '速度': 90, '總和': 458}"
336,飯匙蛇,ハブネーク,Seviper,['毒'],"{'普特': '蛻皮', '夢特': '穿透'}","{'HP': 73, '攻擊': 100, '防禦': 60, '特攻': 100, '特防': 60, '速度': 65, '總和': 458}"
337,月石,ルナトーン,Lunatone,"['岩石', '超能力']",{'普特': '飄浮'},"{'HP': 90, '攻擊': 55, '防禦': 65, '特攻': 95, '特防': 85, '速度': 70, '總和': 460}"
338,太陽巖,ソルロック,Solrock,"['岩石', '超能力']",{'普特': '飄浮'},"{'HP': 90, '攻擊': 95, '防禦': 85, '特攻': 55, '特防': 65, '速度': 70, '總和': 460}"
339,泥泥鰍,ドジョッチ,Barboach,"['水', '地面']","{'普特': ['遲鈍', '危險預知'], '夢特': '溼潤之軀'}","{'HP': 50, '攻擊': 48, '防禦': 43, '特攻': 46, '特防': 41, '速度': 60, '總和': 288}"
340,鯰魚王,ナマズン,Whiscash,"['水', '地面']","{'普特': ['遲鈍', '危險預知'], '夢特': '溼潤之軀'}","{'HP': 110, '攻擊': 78, '防禦': 73, '特攻': 76, '特防': 71, '速度': 60, '總和': 468}"
341,龍蝦小兵,ヘイガニ,Corphish,['水'],"{'普特': ['怪力鉗', '硬殼盔甲'], '夢特': '適應力'}","{'HP': 43, '攻擊': 80, '防禦': 65, '特攻': 50, '特防': 35, '速度': 35, '總和': 308}"
342,鐵螯龍蝦,シザリガー,Crawdaunt,"['水', '惡']","{'普特': ['怪力鉗', '硬殼盔甲'], '夢特': '適應力'}","{'HP': 63, '攻擊': 120, '防禦': 85, '特攻': 90, '特防': 55, '速度': 55, '總和': 468}"
343,天秤偶,ヤジロン,Baltoy,"['地面', '超能力']",{'普特': '飄浮'},"{'HP': 40, '攻擊': 40, '防禦': 55, '特攻': 40, '特防': 70, '速度': 55, '總和': 300}"
